Name,Image URL,Product URL,Price (INR Numeric),Price (INR Formatted),Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
AMD Ryzen 7 9800X3D 4.7 GHz 8-Core Processor,https://cdna.pcpartpicker.com/static/forever/images/product/7e2d17b7b777f8b56e1b5119aa97be20.256p.jpg,https://pcpartpicker.com/product/fPyH99/amd-ryzen-7-9800x3d-47-ghz-8-core-processor-100-1000001084wof,,54883.0,AMD,100-1000001084WOF,AMD Ryzen 7,Zen 5,Granite Ridge,AM5,8,4.7 GHz,5.2 GHz,,,8 MB,96 MB,120 W,Radeon,192 GB,Yes,No,Boxed,4 nm,No,Yes
AMD Ryzen 7 7800X3D 4.2 GHz 8-Core Processor,,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof,,46593.0,AMD,100-100000910WOF,AMD Ryzen 7,Zen 4,Raphael,AM5,8,4.2 GHz,5 GHz,,,8 MB,96 MB,120 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 5 9600X 3.9 GHz 6-Core Processor,,https://pcpartpicker.com/product/4r4Zxr/amd-ryzen-5-9600x-39-ghz-6-core-processor-100-100001405wof,,24172.0,AMD,100-100001405WOF,AMD Ryzen 5,Zen 5,Granite Ridge,AM5,6,3.9 GHz,5.4 GHz,,,6 MB,32 MB,65 W,Radeon,192 GB,Yes,No,Boxed,4 nm,No,Yes
AMD Ryzen 5 7600X 4.7 GHz 6-Core Processor,,https://pcpartpicker.com/product/66C48d/amd-ryzen-5-7600x-47-ghz-6-core-processor-100-100000593wof,,23238.0,AMD,100-100000593WOF,AMD Ryzen 5,Zen 4,Raphael,AM5,6,4.7 GHz,5.3 GHz,,,6 MB,32 MB,105 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 9 9950X3D 4.3 GHz 16-Core Processor,,https://pcpartpicker.com/product/Pk62FT/amd-ryzen-9-9950x3d-43-ghz-16-core-processor-100-100000719wof,,78892.0,AMD,100-100000719WOF,AMD Ryzen 9,Zen 5,Granite Ridge,AM5,16,4.3 GHz,5.7 GHz,,,16 MB,128 MB,170 W,Radeon,192 GB,Yes,No,Boxed,4 nm,No,Yes
AMD Ryzen 5 5500 3.6 GHz 6-Core Processor,,https://pcpartpicker.com/product/yq2WGX/amd-ryzen-5-5500-36-ghz-6-core-processor-100-100000457box,,10743.0,AMD,100-100000457BOX,AMD Ryzen 5,Zen 3,Cezanne,AM4,6,3.6 GHz,4.2 GHz,,,3 MB,16 MB,65 W,,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 7 9700X 3.8 GHz 8-Core Processor,,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,,38476.0,AMD,100-100001404WOF,AMD Ryzen 7,Zen 5,Granite Ridge,AM5,8,3.8 GHz,5.5 GHz,,,8 MB,32 MB,65 W,Radeon,192 GB,Yes,No,Boxed,4 nm,No,Yes
AMD Ryzen 5 5600 3.5 GHz 6-Core Processor,,https://pcpartpicker.com/product/PgcG3C/amd-ryzen-5-5600-36-ghz-6-core-processor-100-100000927box,,19967.0,AMD,100-100000927BOX,AMD Ryzen 5,Zen 3,Vermeer,AM4,6,3.5 GHz,4.4 GHz,,,3 MB,32 MB,65 W,,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 7 7700X 4.5 GHz 8-Core Processor,,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,,29777.0,AMD,100-100000591WOF,AMD Ryzen 7,Zen 4,Raphael,AM5,8,4.5 GHz,5.4 GHz,,,8 MB,32 MB,105 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 7 5800X 3.8 GHz 8-Core Processor,https://cdna.pcpartpicker.com/static/forever/images/product/9b4cefb2e43f2c358f3a97a31e1be90b.256p.jpg,https://pcpartpicker.com/product/qtvqqs/amd-ryzen-7-5800x-38-ghz-8-core-processor-100-100000063wof,,29071.0,AMD,100-100000063WOF,AMD Ryzen 7,Zen 3,Vermeer,AM4,8,3.8 GHz,4.7 GHz,,,4 MB,32 MB,105 W,,128 GB,No,No,Boxed,7 nm,No,Yes
AMD Ryzen 5 3600 3.6 GHz 6-Core Processor,,https://pcpartpicker.com/product/9nm323/amd-ryzen-5-3600-36-thz-6-core-processor-100-100000031box,,22018.0,AMD,Ryzen 5 3600,AMD Ryzen 5,Zen 2,Matisse,AM4,6,3.6 GHz,4.2 GHz,,,3 MB,32 MB,65 W,,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 5 5600X 3.7 GHz 6-Core Processor,https://cdna.pcpartpicker.com/static/forever/images/product/3ef757133d38ac40afe75da691ba7d60.256p.jpg,https://pcpartpicker.com/product/g94BD3/amd-ryzen-5-5600x-37-ghz-6-core-processor-100-100000065box,,25515.0,AMD,100-100000065BOX,AMD Ryzen 5,Zen 3,Vermeer,AM4,6,3.7 GHz,4.6 GHz,,,3 MB,32 MB,65 W,,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 7 5700X 3.4 GHz 8-Core Processor,,https://pcpartpicker.com/product/JmhFf7/amd-ryzen-7-5700x-34-ghz-8-core-processor-100-100000926wof,,26945.0,AMD,100-100000926WOF,AMD Ryzen 7,Zen 3,Vermeer,AM4,8,3.4 GHz,4.6 GHz,,,4 MB,32 MB,65 W,,128 GB,No,No,Boxed,7 nm,No,Yes
Intel Core i7-14700K 3.4 GHz 20-Core Processor,,https://pcpartpicker.com/product/BmWJ7P/intel-core-i7-14700k-34-ghz-20-core-processor-bx8071514700k,,42037.0,Intel,BX8071514700K,Intel Core i7,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,20,3.4 GHz,5.6 GHz,2.5 GHz,4.3 GHz,28 MB,33 MB,125 W,Intel UHD Graphics 770,192 GB,Yes,No,Boxed,7 nm,No,Yes: Hyper-Threading
Intel Core i5-12400F 2.5 GHz 6-Core Processor,https://cdna.pcpartpicker.com/static/forever/images/product/5fe3c9cc8cbaaa4aa52aed7389d2cc10.256p.jpg,https://pcpartpicker.com/product/pQNxFT/intel-core-i5-12400f-25-ghz-6-core-processor-bx8071512400f,,21018.0,Intel,BX8071512400F,Intel Core i5,Alder Lake,Alder Lake,LGA1700,6,2.5 GHz,4.4 GHz,,,7.5 MB,18 MB,65 W,,128 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
AMD Ryzen 9 9900X 4.4 GHz 12-Core Processor,,https://pcpartpicker.com/product/Z6GhP6/amd-ryzen-9-9900x-44-ghz-12-core-processor-100-100000662wof,,45541.0,AMD,100-100000662WOF,AMD Ryzen 9,Zen 5,Granite Ridge,AM5,12,4.4 GHz,5.6 GHz,,,12 MB,64 MB,120 W,Radeon,192 GB,Yes,No,Boxed,4 nm,No,Yes
