Name,Image URL,Product URL,Price,Manufacturer,Part #,Socket/CPU,Form Factor,Chipset,Memory Max,Memory Type,Memory Slots,Memory Speed,Color,PCIe x16 Slots,PCIe x8 Slots,PCIe x4 Slots,PCIe x1 Slots,PCI Slots,M.2 Slots,Mini-PCIe Slots,Half Mini-PCIe Slots,Mini-PCIe / mSATA Slots,mSATA Slots,SATA 6.0 Gb/s,Onboard Ethernet,Onboard Video,USB 2.0 Headers,USB 2.0 Headers (Single Port),USB 3.2 Gen 1 Headers,USB 3.2 Gen 2 Headers,USB 3.2 Gen 2x2 Headers,Supports ECC,Wireless Networking,RAID Support,Scraped At
MSI B650 GAMING PLUS WIFI ATX AM5 Motherboard,,https://pcpartpicker.com/product/szfxFT/msi-b650-gaming-plus-wifi-atx-am5-motherboard-b650-gaming-plus-wifi,19848.0,MSI,B650 GAMING PLUS WIFI,AM5,ATX,AMD B650,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400",Black,2.0,,,1.0,,"2280/22110 M-key, 2260/2280 M-key",,,,,4.0,1 x 2.5 Gb/s Ports (Realtek 8125BG),Depends on CPU,2.0,,1.0,1.0,,No,Wi-Fi 6E,Yes,2026-01-20T11:06:28.333Z
MSI MAG B850 TOMAHAWK MAX WIFI ATX AM5 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/fe0743e587416e7fa161bfd0dca8237f.256p.jpg,https://pcpartpicker.com/product/vjpD4D/msi-mag-b850-tomahawk-max-wifi-atx-am5-motherboard-mag-b850-tomahawk-max-wifi,24522.0,MSI,MAG B850 TOMAHAWK MAX WIFI,AM5,ATX,AMD B850,256 GB,DDR5,4,"DDR5-4800, DDR5-8400",Black / Green,3.0,,,,,"2280/22110 M-key, 2260/2280 M-key, 2260/2280 M-key, 2260/2280 M-key, 2230 E-key",,,,,4.0,1 x 5 Gb/s Ports (Realtek 8126VB),Depends on CPU,2.0,,2.0,,1.0,No,Wi-Fi 7,Yes,2026-01-20T11:06:34.339Z
Asus B650E MAX GAMING WIFI W ATX AM5 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/233f7973b2f73df3b3273091792a871d.256p.jpg,https://pcpartpicker.com/product/QtnXsY/asus-b650e-max-gaming-wifi-w-atx-am5-motherboard-b650e-max-gaming-wifi-w,25742.0,Asus,B650E MAX GAMING WIFI W,AM5,ATX,AMD B650E,256 GB,DDR5,4,"DDR5-4800, DDR5-5200, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",White,4.0,,,,,"2280 M-key, 2280 M-key, 2242/2260/2280/22110 M-key",,,,,4.0,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,3.0,,1.0,1.0,,No,Wi-Fi 6E,Yes,2026-01-20T11:06:40.337Z
Asus PRIME B550M-A WIFI II Micro ATX AM4 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/ff4b4e2c7f72b014f39f1864b19e7250.256p.jpg,https://pcpartpicker.com/product/jQrRsY/asus-prime-b550m-a-wifi-ii-micro-atx-am4-motherboard-prime-b550m-a-wifi-ii,11676.0,Asus,PRIME B550M-A WIFI II,AM4,Micro ATX,AMD B550,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-2933, DDR4-3000, DDR4-3200, DDR4-3333, DDR4-3400, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4200, DDR4-4266, DDR4-4333, DDR4-4400, DDR4-4600, DDR4-4800, DDR4-4866",Blue / Silver,1.0,,,2.0,,"2242/2260/2280/22110 M-key, 2242/2260/2280 M-key",,,,,4.0,1 x 1 Gb/s Ports (Realtek),Depends on CPU,2.0,,1.0,,,No,Wi-Fi 6,Yes,2026-01-20T11:06:47.331Z
Gigabyte B850 AORUS ELITE WIFI7 ATX AM5 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/d3a0054902d36d38a60d09d83698d7c8.256p.jpg,https://pcpartpicker.com/product/72RnTW/gigabyte-b850-aorus-elite-wifi7-atx-am5-motherboard-b850-aorus-elite-wifi7,26857.0,Gigabyte,B850 AORUS ELITE WIFI7,AM5,ATX,AMD B850,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-7900, DDR5-7950, DDR5-8000, DDR5-8200",Black,3.0,,,,,"2580/25110 M-key, 2580/25110 M-key, 2580/25110 M-key",,,,,4.0,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2.0,,1.0,,1.0,No,Wi-Fi 7,Yes,2026-01-20T11:06:53.334Z
Asus TUF GAMING B850-PLUS WIFI ATX AM5 Motherboard,https://m.media-amazon.com/images/I/51FhIr30MjL.jpg,https://pcpartpicker.com/product/sRG2FT/asus-tuf-gaming-b850-plus-wifi-atx-am5-motherboard-tuf-gaming-b850-plus-wifi,25689.0,Asus,TUF GAMING B850-PLUS WIFI,AM5,ATX,AMD B850,256 GB,DDR5,4,"DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-8000",Black / Silver,2.0,,,2.0,,"2280 M-key, 2242/2260/2280/22110 M-key, 2280 M-key",,,,,4.0,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2.0,,1.0,1.0,,No,Wi-Fi 7,Yes,2026-01-20T11:06:59.336Z
Asus TUF GAMING B650E-E WIFI ATX AM5 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/6e091a3954e7ac61e63a226aced54d9b.256p.jpg,https://pcpartpicker.com/product/K8XMnQ/asus-tuf-gaming-b650e-e-wifi-atx-am5-motherboard-tuf-gaming-b650e-e-wifi,19851.0,Asus,TUF GAMING B650E-E WIFI,AM5,ATX,AMD B650,256 GB,DDR5,4,"DDR5-4800, DDR5-5200, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-8000",Black,2.0,,,1.0,,"2280 M-key, 2280 M-key, 2242/2260/2280/22110 M-key",,,,,4.0,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2.0,,1.0,,1.0,No,Wi-Fi 6E,Yes,2026-01-20T11:07:05.343Z
Gigabyte B550 EAGLE WIFI6 ATX AM4 Motherboard,,https://pcpartpicker.com/product/fzNscf/gigabyte-b550-eagle-wifi6-atx-am4-motherboard-b550-eagle-wifi6,15180.0,Gigabyte,B550 EAGLE WIFI6,AM4,ATX,AMD B550,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200",Black,5.0,,,,,"2280/22110 M-key, 2280/22110 M-key",,,,,4.0,1 x 1 Gb/s Ports (Realtek),Depends on CPU,2.0,,1.0,1.0,,No,Wi-Fi 6E,Yes,2026-01-20T11:07:11.332Z
Asus ROG STRIX B850-A GAMING WIFI ATX AM5 Motherboard,https://m.media-amazon.com/images/I/515foeFWRnL.jpg,https://pcpartpicker.com/product/d4CCmG/asus-rog-strix-b850-a-gaming-wifi-atx-am5-motherboard-rog-strix-b850-a-gaming-wifi,28025.0,Asus,ROG STRIX B850-A GAMING WIFI,AM5,ATX,AMD B850,192 GB,DDR5,4,"DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",White,2.0,,,,,"2242/2260/2280 M-key, 2280/22110 M-key, 2280 M-key, 2280 M-key",,,,,2.0,1 x 2.5 Gb/s Ports (Intel),Depends on CPU,2.0,,1.0,1.0,,No,Wi-Fi 7,Yes,2026-01-20T11:07:20.340Z
MSI B550M PRO-VDH WIFI Micro ATX AM4 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/57b4a5399dc626e9c5786f786aeb94ac.256p.jpg,https://pcpartpicker.com/product/PDsnTW/msi-b550m-pro-vdh-wifi-micro-atx-am4-motherboard-b550m-pro-vdh-wifi,12491.0,MSI,B550M PRO-VDH WIFI,AM4,Micro ATX,AMD B550,128 GB,DDR4,4,"DDR4-1866, DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2800, DDR4-2933, DDR4-3000, DDR4-3200, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4266, DDR4-4400",Black,1.0,,,2.0,,"2242/2260/2280 M-key, 2242/2260/2280 M-key",,,,,4.0,1 x 1 Gb/s Ports (Realtek RTL8111HN),Depends on CPU,2.0,,1.0,1.0,,No,Wi-Fi 5,Yes,2026-01-20T11:07:34.328Z
