Name,Image URL,Product URL,Price,Manufacturer,Part #,Speed,Form Factor,Modules,Price / GB,Color,First Word Latency,CAS Latency,Voltage,Timing,ECC / Registered,Heat Spreader,Specs Number,Scraped At
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3200 CL16 Memory,https://cdna.pcpartpicker.com/static/forever/images/product/ae9c14173c768f2fa9ad4d3c957e94a0.256p.jpg,https://pcpartpicker.com/product/W6ndnQ/corsair-vengeance-lpx-32-gb-2-x-16-gb-ddr4-3200-memory-cmk32gx4m2e3200c16,30711.0,Corsair,CMK32GX4M2E3200C16,DDR4-3200,288-pin DIMM (DDR4),2 x 16GB,$8.218,Black / Yellow,10 ns,16.0,1.35 V,16-20-20-38,Non-ECC / Unbuffered,Yes,,2026-01-20T21:57:33.330Z
Crucial Pro Overclocking 32 GB (2 x 16 GB) DDR5-6000 CL36 Memory,,https://pcpartpicker.com/product/QF9wrH/crucial-pro-overclocking-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cp2k16g60c36u5b,43789.0,Crucial,CP2K16G60C36U5B,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$10.187,Black,12 ns,36.0,1.35 V,36-38-38-80,Non-ECC / Unbuffered,Yes,,2026-01-20T21:57:33.330Z
Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL36 Memory,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg,https://pcpartpicker.com/product/kTJp99/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2e6000c36,51497.0,Corsair,CMH32GX5M2E6000C36,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$13.592,Black,12 ns,36.0,1.4 V,36-44-44-96,Non-ECC / Unbuffered,Yes,,2026-01-20T21:57:33.330Z
G.Skill Flare X5 32 GB (2 x 16 GB) DDR5-6000 CL36 Memory,,https://pcpartpicker.com/product/pwxRsY/gskill-flare-x5-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-f5-6000j3636f16gx2-fx5,44373.0,G.Skill,F5-6000J3636F16GX2-FX5,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$11.375,Black,12 ns,36.0,1.35 V,36-36-36-96,Non-ECC / Unbuffered,No,,2026-01-20T21:57:37.341Z
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory,https://cdna.pcpartpicker.com/static/forever/images/product/835ab3efad1be13bbe53beef3e3c6f96.256p.jpg,https://pcpartpicker.com/product/p6RFf7/corsair-memory-cmk16gx4m2b3200c16,18566.0,Corsair,CMK16GX4M2B3200C16,DDR4-3200,288-pin DIMM (DDR4),2 x 8GB,$9.937,Black / Yellow,10 ns,16.0,1.35 V,16-18-18-36,Non-ECC / Unbuffered,Yes,,2026-01-20T21:57:37.341Z
Crucial Pro 32 GB (2 x 16 GB) DDR5-5600 CL46 Memory,,https://pcpartpicker.com/product/3L9wrH/crucial-pro-32-gb-2-x-16-gb-ddr5-5600-cl46-memory-cp2k16g56c46u5,39586.0,Crucial,CP2K16G56C46U5,DDR5-5600,288-pin DIMM (DDR5),2 x 16GB,$10.593,Black,16.429 ns,46.0,1.1 V,,Non-ECC / Unbuffered,Yes,,2026-01-20T21:57:37.342Z
Silicon Power GAMING 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory,,https://pcpartpicker.com/product/P4FKHx/silicon-power-gaming-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-sp016gxlzu320bdaj5,14126.0,Silicon Power,,DDR4-3200,288-pin DIMM (DDR4),2 x 8GB,$7.311,Black / Gray,10 ns,16.0,1.35 V,,Non-ECC / Unbuffered,Yes,,2026-01-20T21:57:41.338Z
Corsair Vengeance RGB 64 GB (2 x 32 GB) DDR5-6000 CL30 Memory,,https://pcpartpicker.com/product/WTMMnQ/corsair-vengeance-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-cmh64gx5m2b6000c30,129736.0,Corsair,CMH64GX5M2B6000C30,DDR5-6000,288-pin DIMM (DDR5),2 x 32GB,$17.344,Black,10 ns,30.0,1.4 V,30-36-36-76,Non-ECC / Unbuffered,Yes,,2026-01-20T21:57:41.338Z
Kingston FURY Beast 16 GB (2 x 8 GB) DDR5-5200 CL40 Memory,,https://pcpartpicker.com/product/hbJgXL/kingston-fury-beast-16-gb-2-x-8-gb-ddr5-5200-cl40-memory-kf552c40bbk2-16,34932.0,Kingston,KF552C40BBK2-16,DDR5-5200,288-pin DIMM (DDR5),2 x 8GB,$13.750,Black,15.385 ns,40.0,1.25 V,,Non-ECC / Unbuffered,Yes,,2026-01-20T21:57:41.338Z
Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL36 Memory,,https://pcpartpicker.com/product/KXV2FT/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2e6000c36w,51497.0,Corsair,CMH32GX5M2E6000C36W,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$13.595,White / Silver,12 ns,36.0,1.4 V,36-44-44-96,Non-ECC / Unbuffered,Yes,,2026-01-20T21:57:45.328Z
Kingston FURY Beast 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory,,https://pcpartpicker.com/product/q7LdnQ/kingston-fury-beast-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-kf560c30bbek2-32,63696.0,Kingston,KF560C30BBEK2-32,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$12.811,Black,10 ns,30.0,1.4 V,,Non-ECC / Unbuffered,Yes,,2026-01-20T21:57:45.344Z
Crucial Pro 32 GB (2 x 16 GB) DDR5-6400 CL38 Memory,https://cdna.pcpartpicker.com/static/forever/images/product/749157446fcdcc5fe5abbb0e8d37ed08.256p.jpg,https://pcpartpicker.com/product/TQjRsY/crucial-pro-32-gb-2-x-16-gb-ddr5-6400-cl38-memory-cp2k16g64c38u5b,42038.0,Crucial,CP2K16G64C38U5B,DDR5-6400,288-pin DIMM (DDR5),2 x 16GB,$11.156,Black,11.875 ns,38.0,1.35 V,38-40-40-84,Non-ECC / Unbuffered,Yes,,2026-01-20T21:57:45.344Z
Patriot Viper Elite 5 16 GB (1 x 16 GB) DDR5-6000 CL30 Memory,https://cdna.pcpartpicker.com/static/forever/images/product/982b9428595cdc64d19a034fcf0b7d3b.256p.jpg,https://pcpartpicker.com/product/G79nTW/patriot-viper-elite-5-16-gb-1-x-16-gb-ddr5-6000-cl30-memory-veb516g6030w,18361.0,Patriot,VEB516G6030W,DDR5-6000,288-pin DIMM (DDR5),1 x 16GB,$9.029,White,10 ns,30.0,1.35 V,30-40-40-76,Non-ECC / Unbuffered,Yes,,2026-01-20T21:57:49.331Z
Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3600 CL18 Memory,,https://pcpartpicker.com/product/khmFf7/corsair-vengeance-rgb-pro-32-gb-2-x-16-gb-ddr4-3600-memory-cmw32gx4m2z3600c18,48573.0,Corsair,CMW32GX4M2Z3600C18,DDR4-3600,288-pin DIMM (DDR4),2 x 16GB,$12.998,Black,10 ns,18.0,1.35 V,18-22-22-42,Non-ECC / Unbuffered,Yes,,2026-01-20T21:57:52.339Z
G.Skill Trident Z5 Neo RGB 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory,,https://pcpartpicker.com/product/CXKKHx/gskill-trident-z5-neo-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3038f16gx2-tz5nr,57802.0,G.Skill,F5-6000J3038F16GX2-TZ5NR,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$15.468,Black,10 ns,30.0,1.35 V,30-38-38-96,Non-ECC / Unbuffered,No,,2026-01-20T21:57:53.342Z
Kingston FURY Beast RGB 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory,https://cdna.pcpartpicker.com/static/forever/images/product/54ddbd8a23594ec6f8f120d748c9e559.256p.jpg,https://pcpartpicker.com/product/NWhv6h/kingston-fury-beast-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-kf560c30bbeak2-32,57888.0,Kingston,KF560C30BBEAK2-32,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$15.491,Black,10 ns,30.0,1.4 V,,Non-ECC / Unbuffered,Yes,,2026-01-20T21:57:53.342Z
Corsair Vengeance 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory,,https://pcpartpicker.com/product/JkfxFT/corsair-vengeance-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmk32gx5m2b6000c30,63408.0,Corsair,CMK32GX5M2B6000C30,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$16.875,Black / Gray,10 ns,30.0,1.4 V,30-36-36-76,Non-ECC / Unbuffered,Yes,,2026-01-20T21:57:56.330Z
TEAMGROUP T-Force Vulcan Z 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory,,https://pcpartpicker.com/product/z3VD4D/team-t-force-vulcan-z-16-gb-2-x-8-gb-ddr4-3200-memory-tlzgd416g3200hc16cdc01,15180.0,TEAMGROUP,TLZGD416G3200HC16CDC01,DDR4-3200,288-pin DIMM (DDR4),2 x 8GB,$8.124,Black,10 ns,16.0,1.35 V,16-18-18-38,Non-ECC / Unbuffered,Yes,,2026-01-20T21:57:57.338Z
Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory,,https://pcpartpicker.com/product/QDhKHx/corsair-vengeance-rgb-pro-16gb-2-x-8gb-ddr4-3200-memory-cmw16gx4m2c3200c16,19967.0,Corsair,CMW16GX4M2C3200C16,DDR4-3200,288-pin DIMM (DDR4),2 x 8GB,$10.687,Black,10 ns,16.0,1.35 V,16-18-18-36,Non-ECC / Unbuffered,Yes,,2026-01-20T21:57:57.338Z
