Name,Image URL,Product URL,Price,Manufacturer,Part #,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Color,Frame Sync,Length,TDP,Case Expansion Slot Width,Total Slot Width,Cooling,External Power,HDMI Outputs,DisplayPort Outputs,DVI-D Dual Link Outputs,HDMI 2.1a Outputs,HDMI 2.1b Outputs,DisplayPort 1.4 Outputs,DisplayPort 1.4a Outputs,DisplayPort 2.1 Outputs,DisplayPort 2.1a Outputs,DisplayPort 2.1b Outputs,SLI/CrossFire
Gigabyte WINDFORCE OC SFF GeForce RTX 5070 12 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg,https://pcpartpicker.com/product/PxG2FT/gigabyte-windforce-oc-sff-geforce-rtx-5070-12-gb-video-card-gv-n5070wf3oc-12gd,70122.0,Gigabyte,GV-N5070WF3OC-12GD,GeForce RTX 5070,12 GB,GDDR7,2160 MHz,2542 MHz,28000 MHz,PCIe x16,Black,G-Sync,282 mm,250 W,2,3,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
MSI GeForce RTX 3060 Ventus 2X 12G GeForce RTX 3060 12GB 12 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg,https://pcpartpicker.com/product/pD8bt6/msi-geforce-rtx-3060-ventus-2x-12g-geforce-rtx-3060-12gb-12-gb-video-card-rtx3060ventus2x12goc,35031.0,MSI,"RTX3060Ventus2X12GOC, GeForce RTX 3060 VENTUS 2X 12G OC, V397-022R, 912-V397-039",GeForce RTX 3060 12GB,12 GB,GDDR6,1320 MHz,1777 MHz,15000 MHz,PCIe x16,Black,G-Sync,235 mm,170 W,2,2,2 Fans,1 x PCIe 8-pin,1.0,3.0,,,,,,,,,
Gigabyte GAMING OC Radeon RX 9060 XT 16 GB Video Card,,https://pcpartpicker.com/product/TcG2FT/gigabyte-gaming-oc-radeon-rx-9060-xt-16-gb-video-card-gv-r9060xtgaming-oc-16gd,61890.0,Gigabyte,GV-R9060XTGAMING OC-16GD,Radeon RX 9060 XT,16 GB,GDDR6,2220 MHz,3320 MHz,,PCIe x16,Black,FreeSync,281 mm,160 W,2,2,3 Fans,1 x PCIe 8-pin,,,,,1.0,,,,2.0,,
Asus ROG Astral OC GeForce RTX 5090 32 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/0161407080353d18971dcccd15dc3722.256p.jpg,https://pcpartpicker.com/product/WGG2FT/asus-rog-astral-oc-geforce-rtx-5090-32-gb-video-card-rog-astral-rtx5090-o32g-gaming,428361.0,Asus,"rog-astral-rtx5090-o32g-gaming, 90YV0LW0-M0NA00",GeForce RTX 5090,32 GB,GDDR7,2010 MHz,2610 MHz,,PCIe x16,Black / Silver,G-Sync,358 mm,575 W,2,4,4 Fans,1 x PCIe 16-pin 12VHPWR,,,,,2.0,,,,,3.0,
Asus PRIME GeForce RTX 5070 Ti 16 GB Video Card,,https://pcpartpicker.com/product/Cpbypg/asus-prime-geforce-rtx-5070-ti-16-gb-video-card-prime-rtx5070ti-16g,96922.0,Asus,"prime-rtx5070ti-16g, 90YV0MF1-M0NA00, 90YV0MF1-M0AA00",GeForce RTX 5070 Ti,16 GB,GDDR7,2300 MHz,2482 MHz,,PCIe x16,Black / White,G-Sync,306 mm,300 W,2,3,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
MSI SHADOW 2X OC GeForce RTX 5060 8 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/8c4f403aea1d6a32045a6368e23486c1.256p.jpg,https://pcpartpicker.com/product/Xwkqqs/msi-shadow-2x-oc-geforce-rtx-5060-8-gb-video-card-rtx-5060-8g-shadow-2x-oc,39645.0,MSI,"RTX 5060 8G SHADOW 2X OC, G5060-8S2C, GeForce RTX 5060 8G SHADOW 2X OC",GeForce RTX 5060,8 GB,GDDR7,2280 MHz,2535 MHz,,PCIe x16,Black / Silver,G-Sync,197 mm,155 W,2,2,2 Fans,1 x PCIe 8-pin,,,,,1.0,,,,,3.0,
Sapphire PULSE Radeon RX 9060 XT 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/bb4fb586eae43c6dd135c6a5b97ddb52.256p.jpg,https://pcpartpicker.com/product/w2WmP6/sapphire-pulse-radeon-rx-9060-xt-16-gb-video-card-11350-03-20g,63543.0,Sapphire,11350-03-20G,Radeon RX 9060 XT,16 GB,GDDR6,2220 MHz,3290 MHz,,PCIe x16,Black,FreeSync,240 mm,170 W,2,3,2 Fans,1 x PCIe 8-pin,,,,,2.0,,,,1.0,,
Gigabyte GAMING OC Radeon RX 9070 XT 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg,https://pcpartpicker.com/product/h7RnTW/gigabyte-gaming-oc-radeon-rx-9070-xt-16-gb-video-card-gv-r9070xtgaming-oc-16gd,85828.0,Gigabyte,"GV-R9070XTGAMING OC-16GD, 9VR907XTGO-00-G10",Radeon RX 9070 XT,16 GB,GDDR6,2520 MHz,3060 MHz,,PCIe x16,Black,FreeSync,288 mm,304 W,2,3,3 Fans,3 x PCIe 8-pin,,,,,2.0,,,,2.0,,
Asus DUAL OC GeForce RTX 5060 Ti 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/59667fe806af75adbdce293b8f5fb626.256p.jpg,https://pcpartpicker.com/product/ss8Pxr/asus-dual-oc-geforce-rtx-5060-ti-16-gb-video-card-dual-rtx5060ti-o16g,81626.0,Asus,"dual-rtx5060ti-o16g, 90YV0MH0-M0NA00, 90YV0MH0-M0AA00, 90YV0MH0-MVAA00",GeForce RTX 5060 Ti,16 GB,GDDR7,2410 MHz,2632 MHz,,PCIe x16,Black / Silver,G-Sync,229 mm,180 W,2,3,2 Fans,1 x PCIe 8-pin,,,,,1.0,,,,,3.0,
Asus PRIME OC Radeon RX 9070 XT 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/a276b7c0da9743accbc0a6e0d88732df.256p.jpg,https://pcpartpicker.com/product/WcHp99/asus-prime-oc-radeon-rx-9070-xt-16-gb-video-card-prime-rx9070xt-o16g,84077.0,Asus,"prime-rx9070xt-o16g, 90YV0L71-M0NA00",Radeon RX 9070 XT,16 GB,GDDR6,2460 MHz,3030 MHz,,PCIe x16,Black,FreeSync,312 mm,304 W,2,3,3 Fans,3 x PCIe 8-pin,,,,,,,,,3.0,,
MSI SHADOW 3X OC GeForce RTX 5080 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/d91d1da465afdceccb1152763b266b4a.256p.jpg,https://pcpartpicker.com/product/dQqNnQ/msi-shadow-3x-oc-geforce-rtx-5080-16-gb-video-card-geforce-rtx-5080-16g-shadow-3x-oc,141208.0,MSI,"GeForce RTX 5080 16G SHADOW 3X OC, G5080-16S3C",GeForce RTX 5080,16 GB,GDDR7,2300 MHz,2655 MHz,,PCIe x16,Black,G-Sync,303 mm,360 W,2,3,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
Intel Limited Edition Arc B580 12 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/4d6582f8f760f3da54b0dc4f85a816d4.256p.jpg,https://pcpartpicker.com/product/Kt62FT/intel-limited-edition-arc-b580-12-gb-video-card-31p06hb0ba,43375.0,Intel,"31P06HB0BA, INT-31P06HB0BA",Arc B580,12 GB,GDDR6,2670 MHz,,,PCIe x16,Black,,272 mm,190 W,2,2,2 Fans,1 x PCIe 8-pin,,,,,,,,3.0,,,
Gigabyte WINDFORCE SFF GeForce RTX 5070 Ti 16 GB Video Card,,https://pcpartpicker.com/product/8PFCmG/gigabyte-windforce-sff-geforce-rtx-5070-ti-16-gb-video-card-gv-n507twf3-16gd,155346.0,Gigabyte,GV-N507TWF3-16GD,GeForce RTX 5070 Ti,16 GB,GDDR7,2452 MHz,,28000 MHz,PCIe x16,Black,G-Sync,304 mm,300 W,2,3,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
Gigabyte WINDFORCE OC GeForce RTX 5060 8 GB PCIe x8 Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/b5efd683779ac37de1ac562745545713.256p.jpg,https://pcpartpicker.com/product/F38Pxr/gigabyte-windforce-oc-geforce-rtx-5060-8-gb-pcie-x8-video-card-gv-n5060wf2oc-8gd,55613.0,Gigabyte,GV-N5060WF2OC-8GD,GeForce RTX 5060,8 GB,GDDR7,2280 MHz,,28000 MHz,PCIe x8,Black,G-Sync,199 mm,145 W,2,2,2 Fans,1 x PCIe 8-pin,,,,,1.0,,,,,3.0,
PowerColor Reaper Radeon RX 9060 XT 16 GB Video Card,,https://pcpartpicker.com/product/fzh2FT/powercolor-reaper-radeon-rx-9060-xt-16-gb-video-card-rx9060xt-16g-a,46709.0,PowerColor,RX9060XT 16G-A,Radeon RX 9060 XT,16 GB,GDDR6,2220 MHz,3230 MHz,,PCIe x16,Black,FreeSync,200 mm,160 W,2,2,2 Fans,1 x PCIe 8-pin,,,,,1.0,,,,2.0,,
Inno3D X3 OC GeForce RTX 5090 32 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/0f558bb226e573c90c058cab02fbd1c1.256p.jpg,https://pcpartpicker.com/product/Wxtkcf/inno3d-x3-oc-geforce-rtx-5090-32-gb-video-card-n50903-32d7x-17593928,987578.0,Inno3D,N50903-32D7X-17593928,GeForce RTX 5090,32 GB,GDDR7,2017 MHz,2452 MHz,28000 MHz,PCIe x16,Black / Silver,G-Sync,333 mm,575 W,3,3,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
Asus PRIME OC GeForce RTX 5070 12 GB Video Card,,https://pcpartpicker.com/product/DCy8TW/asus-prime-oc-geforce-rtx-5070-12-gb-video-card-prime-rtx5070-o12g,81741.0,Asus,"prime-rtx5070-o12g, 90YV0M10-M0NA00",GeForce RTX 5070,12 GB,GDDR7,2160 MHz,,,PCIe x16,Black / White,G-Sync,306 mm,250 W,2,3,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
XFX Swift OC Radeon RX 9060 XT 16 GB Video Card,,https://pcpartpicker.com/product/cD7MnQ/xfx-swift-oc-radeon-rx-9060-xt-16-gb-video-card-rx-96ts316b7,65050.0,XFX,RX-96TS316B7,Radeon RX 9060 XT,16 GB,GDDR6,2220 MHz,3320 MHz,,PCIe x16,Black,FreeSync,290 mm,160 W,2,3,3 Fans,1 x PCIe 8-pin,,,,,1.0,,,,2.0,,
ASRock Challenger Radeon RX 9070 XT 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/f016a332e2c52da6b3bc42013e651566.256p.jpg,https://pcpartpicker.com/product/Q8sMnQ/asrock-challenger-radeon-rx-9070-xt-16-gb-video-card-rx9070xt-cl-16g,85245.0,ASRock,"RX9070XT CL 16G, 90-GA61ZZ-00UANF",Radeon RX 9070 XT,16 GB,GDDR6,2400 MHz,2970 MHz,20000 MHz,PCIe x16,Black,FreeSync,290 mm,304 W,2,3,3 Fans,2 x PCIe 8-pin,,,,,1.0,,,,3.0,,
